Тема,Ссылка,Ответы,Просмотры,Автор,Последнее обновление
"Телёнок испорожняется подобием красной кишки, что это? Фото",https://fermer.ru/forum/567/spasti-telyonka-375292,0,996,Екатерина Никольская,"от Екатерина Никольская вт, 14.03.2023 - 16:45"
Случайность или загадочная болезнь?!,https://fermer.ru/forum/567/sluchaynost-ili-zagadochnaya-bolezn-374944,0,418,ИнНаз,"от ИнНаз вт, 21.02.2023 - 13:48"
При повторной сдачи крови на лейкоз у тёлки ответ отрицательный. Так бывает?,https://fermer.ru/forum/567/telka-374861,6,551,Марина Вирабян,"от попов сергей ан... пн, 20.02.2023 - 08:56"
Уплотнение в вымени,https://fermer.ru/forum/567/uplotnenie-v-vymeni-372980,2,420,HakerBLR,"от Ирина14 пн, 30.01.2023 - 09:56"
"Прошли курс лечения от папилломатоза, не помогло. Как лечить? Фото",https://fermer.ru/forum/567/chto-eto-i-kak-lechit-pomogite-374497,2,610,Татьяна Вицкая,"от Татьяна Вицкая вс, 29.01.2023 - 12:15"
"Телята стали дохнуть один за одним, обнаружили , что из желудка выходит пища обратно в глотку",https://fermer.ru/forum/223/bolezni-telyat-374163,2,667,Людмила2408,"от Stepnoj 2 сб, 28.01.2023 - 14:55"
Теленка постоянно морозит,https://fermer.ru/forum/419/telenka-postoyanno-morozit-374425,10,3324,Людмила2408,"от wator ср, 25.01.2023 - 16:54"
"Запор у теленка, вздутый живот, боле недели ни ест, ни испражняется",https://fermer.ru/forum/419/zapor-u-telenka-vzdutyy-zhivot-holodnyy-nosik-374077,4,1853,Ангелина Русскова,"от Виннер чт, 29.12.2022 - 13:07"
Корова резко потеряла молоко. Гноистые выделения из носа. Мутные глаза. Отказ от корма.,https://fermer.ru/forum/567/sos-korova-rezko-poteryala-moloko-373415,1,386,Марина Штейнико...,"от Ираида Иннокентьевна ср, 02.11.2022 - 14:23"
"Выпускают ли сейчас препарат Некрофарм? Если нет, то чем заменить для лечения болезни копыт у КРС?",https://fermer.ru/blog/354499/bolezni-kopyt-u-korovy-370811,2,1407,николай.2311,"от МАМ пт, 14.10.2022 - 18:21"
"У телёнка понос, коричневого цвета жидкий! Чем кормить, поить, что колоть?! 3 мес, помогите.",https://fermer.ru/forum/567/ponos-u-telyonka-371930,1,473,Erukavicina,"от МАМ пт, 14.10.2022 - 18:17"
"В молоке кровь, доится легко, ушибов не видно или уплотнений.",https://fermer.ru/forum/564/v-moloke-krov-372640,5,657,Людмила Ненахова,"от nad вт, 13.09.2022 - 19:12"
На вымени у коровы появились чёрные пятна на сосках. Что это? Фото,https://fermer.ru/forum/223/zabolevanie-na-vymeni-korovy-372223,1,1147,Елена Еськина,"от В.Юрьевич пн, 15.08.2022 - 23:28"
Корова голштинка не приходит в охоту,https://fermer.ru/forum/567/korova-golshtinka-ne-prihodit-v-ohotu-371507,1,619,Олеся Калинина,"от Александр Нск ср, 03.08.2022 - 17:19"
Корова резко сбавила молока в два раза. При этом молоко густое и цветом как сливки. Из одного соска было творожистое выделение.,https://fermer.ru/forum/564/zhyoltoe-gustoe-moloko-371801,1,850,Dodonka,"от Александр Нск вт, 26.07.2022 - 13:53"
"Новообразования на вымени у коровы в форме шариков. Сначала маленькие, с каждым годом всё больше и больше. Фото",https://fermer.ru/forum/419/novoobrazovaniya-na-vymeni-u-korovy-371475,0,1186,Valeria02,"от Valeria02 сб, 02.07.2022 - 20:53"
Кетоз после отела. Преждевременная охота,https://fermer.ru/forum/567/ketoz-posle-otela-prezhdevremennaya-ohota-370745,2,697,Иван Шелест,"от Иван Шелест пн, 23.05.2022 - 06:39"
Шишка в вымени у первотелки. Ещё отёк небольшой,https://fermer.ru/forum/419/shishka-v-vymeni-u-pervatelki-370271,0,808,Елена Чурюмова ...,"от Елена Чурюмова ... вс, 24.04.2022 - 06:53"
"Шишка на шее у коровы, на ощупь плотная. Фото.",https://fermer.ru/forum/564/shishka-na-shee-u-korovy-369987,2,3377,Shnaider04,"от Shnaider04 вс, 10.04.2022 - 21:49"
Послеродовой парез у коровы. Корова не встаёт,https://fermer.ru/forum/567/poslerodovoy-parez-369624,0,1052,Mariva,"от Mariva чт, 24.03.2022 - 21:50"
"У стельной тёлочки на вымени есть отёк. Не твёрдый, просто сзади свисает. Может мне надо что-то предпринять?",https://fermer.ru/blog/350637/proshu-pomoshchi-369479,0,844,Malva,"от Malva пт, 18.03.2022 - 05:19"
Нарост у телёнка в форме гриба,https://fermer.ru/forum/429/narost-u-telyonka-v-forme-griba-369211,6,1419,Alex213,"от Ираида Иннокентьевна ср, 09.03.2022 - 04:40"
Забили корову и обнаружили что стенки желудка были как промокашка. С чем может быть связанно?,https://fermer.ru/forum/567/zheludok-korovy-369250,0,1166,Валерий1980,"от Валерий1980 пн, 07.03.2022 - 20:46"
"Телёнок, 23 дня не может наступать на заднюю правую ногу. Сама нога вытянута по сравнению с левой, опираться на нее не может,.",https://fermer.ru/forum/567/problema-s-zadney-pravoy-konechnostyu-telyonka-369074,0,1220,Curiosus0,"от Curiosus0 вт, 22.02.2022 - 08:36"
Первотелка не встает после отёла.,https://fermer.ru/forum/567/pervotelka-ne-vstaet-posle-otyola-368880,8,1101,Curiosus0,"от Curiosus0 пт, 11.02.2022 - 12:19"
Около глаз у коровы плешь. Фото,https://fermer.ru/forum/567/okolo-glaz-u-korovy-plesh-368628,2,1549,Дамир Н,"от Дамир Н вс, 30.01.2022 - 13:45"
"Теленку 4 дня. Случайно, по неосторожности, перевернули через спину после этого пропал аппетит. Помогите, что делать?",https://fermer.ru/forum/567/chto-delat-368598,0,664,2-9000-2144-7984,"от 2-9000-2144-7984 чт, 27.01.2022 - 21:38"
"Корова глубокостельная тянет шею, плохой аппетит!!! Нарушена походка не много",https://fermer.ru/forum/567/nuzhna-pomoshch-368200,1,862,ЯнаП.,"от Ясень пн, 10.01.2022 - 22:56"
Твёрдый нарост на коленке у коровы.,https://fermer.ru/forum/567/tvyordyy-narost-na-kolenke-u-korovy-368152,0,566,Хасан06,"от Хасан06 вт, 04.01.2022 - 10:38"
Судороги у недоношенного телёнка. Начал вставать на 4 день.,https://fermer.ru/forum/419/sudorogi-u-telyonka-368151,0,798,Мила Ми,"от Мила Ми вт, 04.01.2022 - 09:49"
у телёнка понос с кровью как лечить?,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/212747,182,88993,Наталья152,"от Светлана п. с пт, 24.12.2021 - 18:30"
НУЖЕН СОВЕТ  ТЕЛЯТА УПАЛИ НА НОГИ,https://fermer.ru/forum/veterinariya-krs/119493,19,89644,Галина У,"от Сергейx1 ср, 08.12.2021 - 07:45"
"Теленок лежит, встает сено минут 2-5 кушает и снова лежит, копытом пытается почесать живот. Что может быть?",https://fermer.ru/forum/567/telenok-lezhit-vstaet-seno-minut-2-5-i-snova-lezhit-kopytom-pytaetsya-pochesat-zhivot-chto-mozhet-byt-366995,8,930,joxipa,"от Malakaikuguza ср, 01.12.2021 - 21:48"
Может кто-нибудь подскажет как запустить рубец у коровы,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/278691,22,12088,z.shemetova,"от Фрау вт, 30.11.2021 - 17:41"
Мастит или нет? Из молока не получаеться творог,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/220921,57,26627,vetrugan,"от Oskars Che вт, 30.11.2021 - 13:10"
Бычку 5 мес. стал плохо стоять на ногах,https://fermer.ru/forum/veterinariya-krs/86245,12,35565,Другов,"от katkova36 пн, 29.11.2021 - 13:23"
Микроаборты у коров гольштинок,https://fermer.ru/forum/567/mikroaborty-u-korov-golshtinok-367326,6,1018,Oskars Che,"от Aleks35 ср, 24.11.2021 - 12:40"
Мастит. При дойке обнаружила жёлтые сгустки и в двух задних долях уплотнения как кирпичики.,https://fermer.ru/forum/567/mastit-367321,1,1696,ЮВЖ,"от Aleks35 ср, 24.11.2021 - 05:56"
"Бычку 6 месяцев, пропал аппетит из ноздрей висят большие сопли светлые, изо рта слюни на пятый день пошёл слизистый понос",https://fermer.ru/forum/567/u-bychka-sopli-i-slyuni-367154,0,625,Оксана В 24,"от Оксана В 24 вс, 14.11.2021 - 12:23"
"Кашель у коровы короткий, сильный, не затяжной 2-4 раза, но на протяжении всего дня с большими интервалами.",https://fermer.ru/forum/564/kashel-u-korovy-366753,0,1049,Николай Пальцев,"от Николай Пальцев вт, 26.10.2021 - 18:45"
"Бычок наелся перьев, прошло 4 дня стал поносить, через два дня понос прекратился, но пропал аппетит и стал слабым",https://fermer.ru/forum/567/pomogite-sovetom-chto-delat-365669,0,631,Ашотович,"от Ашотович ср, 08.09.2021 - 21:57"
"Чем обезопасить корову от клеща. Делаем Бабезан, но всё равно через неделю лечим от укуса.. И при этом ещё и удой падает.",https://fermer.ru/forum/567/kleshch-365489,7,1070,Валерий1980,"от попов сергей ан... вс, 05.09.2021 - 14:22"
"Помогите спасти корову! Мастит, выкидыш на 7 месяце",https://fermer.ru/forum/567/pomogite-spasti-korovumastitvykidysh-na-7-mesyace-365582,0,685,АнастасияНикола...,"от АнастасияНикола... сб, 04.09.2021 - 07:44"
"Теленок 6 месяцев жует сено и не глотает, слюни бегут",https://fermer.ru/forum/567/telenok-6-mesyacev-zhuet-seno-i-ne-glotaet-slyuni-begut-365460,0,550,akin,"от akin пн, 30.08.2021 - 09:11"
"Бычок 3 месяца, перехожу с молока на воду, начинает поносить",https://fermer.ru/forum/567/bychok-3-mesyaca-365406,4,825,Разжигаев Александр,"от Елена Т вс, 29.08.2021 - 22:42"
"купил говядину на рынке, стал разделывать, в одном куске вот такой большой, светлый, крупный узел. Что это? Фото",https://fermer.ru/forum/567/uzel-v-myase-365199,8,1671,Auslaender642008,"от Андрей-Подмосковье пт, 20.08.2021 - 09:45"
"Как пролечить суставы у телёнка? Советов ""избавляйтесь от этого геморроя"", ""сдавайте на мясо"" не нужно.",https://fermer.ru/forum/567/bolnye-sustavy-u-telyonka-365038,8,1499,Крестьянка Катерина,"от Крестьянка Катерина вс, 08.08.2021 - 23:46"
"Телёнок не видит, шея искривлена",https://fermer.ru/forum/567/telyonok-ne-vidit-sheya-iskrivlena-364813,0,814,mlogun48,"от mlogun48 вс, 25.07.2021 - 15:33"
"Бык 10 дней не может встать на ноги. Такое ощущение сложилось, как будто тело ему не подчиняется. Температура  38 до 41 Фото",https://fermer.ru/forum/567/srokchno-nuzhna-pomoshch-byk-umiraet-364784,1,796,stypor1993,"от Дмитрий Б чт, 22.07.2021 - 23:29"
Телка в течение трёх лет не покрывается . Гуляет не переставая,https://fermer.ru/forum/428/korova-ne-pokryvaetsya-364447,1,593,Fermer KG,"от Кузина Ольга чт, 08.07.2021 - 14:08"
"Серьёзная проблема, корова по ходу умирает",https://fermer.ru/forum/564/seryoznaya-problema-korova-po-hodu-umiraet-363291,46,3324,newnaicon,"от Aleks35 ср, 07.07.2021 - 08:45"
Кровь после быка,https://fermer.ru/forum/567/krov-posle-byka-364426,0,523,алексей21,"от алексей21 ср, 07.07.2021 - 05:41"
У телёнка (2 мес) почернели уши и появляются болячки на спине. Фото.,https://fermer.ru/forum/419/chto-za-bolezn-u-telenka-364240,2,958,Александр7778,"от Русакова Ольга чт, 01.07.2021 - 16:34"
Помогите пожалуйста советом. Корова перестала давать молоко,https://fermer.ru/forum/567/pomogite-pozhaluysta-sovetom-korova-perestala-davat-moloko-364119,2,858,Анна2110,"от Владимир_ Конов... вс, 20.06.2021 - 23:13"
"У коровы что то застряло в глазу в уголке, воспалённый. Посоветуйте как самостоятельно можно вытащить?",https://fermer.ru/forum/567/chto-zastryalo-v-glazu-363885,0,526,Черняфка,"от Черняфка пн, 07.06.2021 - 20:36"
Ампутация - протез,https://fermer.ru/forum/veterinariya-krs/162590,9,4598,Inadir,"от Хатема сб, 22.05.2021 - 17:42"
Вши у коров,https://fermer.ru/forum/567/vshi-u-korov-363387,1,655,Dodonka,"от olga k сб, 15.05.2021 - 07:29"
"У теленка 1,5 месяцев 3 недели назад сломалась передняя нога в районе путового сустава",https://fermer.ru/forum/567/perelom-nogi-u-telenka-363218,0,743,Еленаdoc,"от Еленаdoc чт, 06.05.2021 - 05:53"
Какой процент маститных коров в стаде можно считать нормой?,https://fermer.ru/forum/567/kakoy-procent-mastitnyh-korov-v-stade-mozhno-schitat-normoy-363202,0,558,Gur2,"от Gur2 ср, 05.05.2021 - 11:20"
Вместо кала  у телёнка идёт кровь. Фото,https://fermer.ru/forum/567/pomogite-srochno-telenku-362964,15,7556,Сардаана Никифорова,"от olga k пт, 23.04.2021 - 07:36"
Болезнь крупного рогатого скота,https://fermer.ru/forum/veterinariya-krs/62334,43,52520,Semen23,"от Титовец Елена сб, 10.04.2021 - 12:37"
Ивермек дойным коровам?,https://fermer.ru/forum/567/ivermek-doynym-korovam-362674,1,822,Черняфка,"от Кузина Ольга пт, 09.04.2021 - 16:12"
"Бык годовалый уже неделю, мочится с кровью, поносит с кровью и слизью, ничего не ест.",https://fermer.ru/forum/567/ponos-so-slizyu-u-byka-362296,13,3757,Muradov Nizami,"от nad чт, 25.03.2021 - 13:54"
Тёлочка родилась с лысыми ногами. Сейчас появились ранки и в некоторых из них гной. Что делать?,https://fermer.ru/forum/564/problemy-s-nogami-u-telyonka-362248,3,663,Сергей Неверов 1,"от Сорокина Надежд... ср, 24.03.2021 - 09:36"
"Бычок 10 месяцев, что-то с задним ногами. Приподнимает по очереди, поджимает. Двигается как на ходулях",https://fermer.ru/forum/567/bychok-10-mesyacev-chto-s-zadnim-nogami-362014,1,977,Елена Илларионова,"от Валентинович. вт, 16.03.2021 - 04:46"
"Теленку 1 месяц, начался понос с кровью, но он веселый и хорошо пьет и ест. Ветеринара нет, до города 70 км.",https://fermer.ru/forum/567/pomogite-pozhaluysta-361943,1,567,Светлана.-.,"от Кира Волк пт, 12.03.2021 - 17:20"
"Цефтриаксон.  Подскажите пожалуйста как его нужно применять, в сам сосок или в в/м?",https://fermer.ru/forum/567/ceftriakson-361748,13,3819,Вера КарецкаяБы...,"от попов сергей ан... вс, 07.03.2021 - 22:48"
"У коровы шишка, хромает сильно и похудела. Фото.",https://fermer.ru/forum/419/bolezni-korov-361547,7,1047,Vii vii,"от Елена Чурюмова ... сб, 27.02.2021 - 14:09"
"Отек доли у телки 1,6 года",https://fermer.ru/forum/567/otek-doli-u-telki-16-goda-361507,1,795,Елена Малина,"от Елена Малина вс, 21.02.2021 - 21:58"
Отек вымени. Нужна помощь!,https://fermer.ru/forum/veterinariya-krs-krupnyy-rogatyy-skot-zhivotnovodstvo/243845,36,31871,Адольфовна,"от Ксана60 пт, 19.02.2021 - 14:50"
Телёнок сильно кашляет.,https://fermer.ru/forum/567/telyonok-silno-kashlyaet-359649,1,1257,El16en17ka18,"от Кира Волк вт, 16.02.2021 - 16:03"
"У бычка понос, после того как даю ему выпить воды то у него задние ноги дрожат очень сильно,и он пьёт очень много воды два ведра",https://fermer.ru/forum/420/boleet-bychok-361112,2,753,Петя2000550,"от wator ср, 03.02.2021 - 19:34"
"Отел первотелки: выходит одна нога и голова, что делать?",https://fermer.ru/forum/567/otel-pervotelki-vyhodit-odna-noga-i-golova-chto-delat-360954,6,1754,Олег Теребище,"от попов сергей ан... пт, 29.01.2021 - 09:48"
"Бычки 9-ти месяцев грызут жерди, доски. Что делать?",https://fermer.ru/forum/veterinariya-krs/143426,8,14772,Magellan,"от Вова Бабин ср, 27.01.2021 - 14:29"
Новотельная корова плохо ест,https://fermer.ru/forum/567/novotelnaya-korova-ploho-est-360680,29,2314,Pavka,"от Pavka вс, 24.01.2021 - 22:29"
Быки бьют ногами по животу,https://fermer.ru/forum/567/byki-byut-nogami-po-zhivotu-360636,6,1669,alex2030,"от wasia habiboolin пт, 15.01.2021 - 06:11"
У телки на вымени нарост размером с грецкий орех. Как вылечить?,https://fermer.ru/forum/567/u-telki-na-vymeni-narost-razmerom-s-greckiy-oreh-kak-vylechit-360564,1,916,Алексей Текстильный,"от Бояка пн, 11.01.2021 - 00:10"
Корова выплёвывает жвачку.,https://fermer.ru/forum/223/korova-vyplyovyvaet-zhvachku-310798,1,4371,Трактористт,"от Ульяна Никольская пт, 11.12.2020 - 20:47"
Вопрос-ответ КРС,https://fermer.ru/forum/zhivotnovodstvo/krupnyi-rogatyi-skot/veterinariya-krs/187737,119,23751,alex113325,"от Ольга Вячеславовна пт, 20.11.2020 - 22:40"
Почему горькие сливки?,https://fermer.ru/forum/567/gorkie-slivki-359451,3,2670,Светлана Силантьева,"от ILDARTIR вт, 10.11.2020 - 19:01"
Доля хромых коров в стаде,https://fermer.ru/forum/567/dolya-hromyh-korov-v-stade-359334,0,654,Gur2,"от Gur2 вт, 03.11.2020 - 11:59"
"Одна из коров, как только вводим жом начиет оправляться с кровью со слизью. Поноса нет. Убираем жом всё проходит само собой.",https://fermer.ru/blog/320427/zabolela-korova-359252,6,1479,Екатерина Канатова,"от olga k вс, 01.11.2020 - 08:59"
